(TEST) Speed Godzilla Jakarta
Hi Hotel Senen
Holiday Inn Express Jakarta International Expo
Holiday Inn Express Jakarta Matraman
Holiday Inn Express Jakarta Pluit Citygate
Holiday Inn Express Jakarta Thamrin
Holiday Inn Express Jakarta Wahid Hasyim
Holiday Inn Hotel and Suites Jakarta Gajah Mada
Holiday Inn Jakarta Kemayoran
Hollywood jakarta Hotel
Home 2
Home Inn Executive Residence
Horison Ciledug
Hotel 55
Hotel 88 Fatmawati
Hotel 88 Grogol
Hotel 88 Jakarta Mangga Besar 120
Hotel 88 Kedoya
Hotel 88 Mangga Besar
Hotel 88 Mangga Besar 120
Hotel 88 Mangga Besar 62
Hotel 88 Tendean
Hotel Agraha
Hotel Amaris Slipi Jakarta
Hotel Antara
Hotel Balairung
Hotel Bunga Bunga
Hotel Cipta 2 Mampang
Hotel Dafam Enkadeli Thamrin Jakarta Syariah
Hotel Dafam Teraskita Jakarta
Hotel Des Indes Menteng
Hotel Fiducia Kaji
Hotel Fiducia Otista 153
Hotel Gran Mahakam Jakarta
Hotel Ibis Jakarta Harmoni
Hotel Indonesia Kempinski
Hotel Kaisar Jakarta
Hotel Kartika Chandra
Hotel Maharadja
Hotel Maharani
Hotel Marcopolo
Hotel Mega Cikini
Hotel Melawai 1 Jakarta
Hotel Melawai 2
Hotel Menara Peninsula
Hotel Mulia Senayan
Hotel NEO Mangga Dua Square
Hotel NEO+ Kebayoran
Hotel RO&VI Boutique
Hotel Samala
Hotel Santika Premiere Hayam Wuruk Jakarta
Hotel Santika Premiere Slipi Jakarta
Hotel Senen Indah
Hotel Surya Baru
Hotel Surya Jakarta
Hotel Zia Shiro I Shika
House of Arsonia - Arsonia Orchid
House of Arsonia Flamboyant
House of Arsonia Tondano
House Of Arsonia Tulip
Ibis Budget Daan Mogot
Ibis Budget Jakarta Cikini (Formule 1 Cikini)
Ibis Budget Jakarta Menteng (Ex. Formule 1 Menteng)
Ibis Budget Jakarta Tanah Abang
Ibis Jakarta Arcadia
Ibis Jakarta Cawang
Ibis Jakarta Senen
Ibis Kemayoran
Ibis Mangga Dua
Ibis Slipi
Ibis Styles Jakarta Mangga Dua
Ibis Styles Jakarta Sunter
Ibis Tamarin
Illigals Hotel & Club
InterContinental Jakarta Pondok Indah
Intercontinental MidPlaza
Jakarta Airport (Ex. Quality Airport)
Jakarta Madrix
Jambuluwuk Thamrin Hotel
Jayakarta Hotel & Spa
Joe Hotel
Josephine Guest House
JS Luwansa Hotel
Juno Wahid Hasyim
JW Marriott Jakarta
Kantos Guest House
Kawanua Aerotel (Asana Kawanua)
Kchrysant Hotel
Kemang Icon by Alila
Keraton at The Plaza
Kosenda Hotel
Kristal Hotel
Kuretakeso Kemang Hotel
Kyriad Fatmawati Jakarta
Kyriad Metro Cipulir
Lautze Indah Hotel
Lavenue Apartment Pancoran
Le Grandeur Mangga Dua
Le Green Hotel & Suites Kuningan
Le Green Penjernihan
Le Green Poso
Le Green Suite Gatot Subroto
Le Green Suite Pejompongan
Le Green Suite Senayan
Le Green Suite Setiabudi
Le Green Suite Supomo
Le Green Suite Tebet
Le Green Suite Tondano
Le Meridien Jakarta
LeGreen Hotel & Suites Kuningan
LeGreen Suite Gatot Subroto
LeGreen Suite Kuningan
LeGreen Suite Penjernihan
LeGreen Suite Senayan
LeGreen Suite Supomo
LeGreen Suite Tondano
Liberta Hotel Kemang
Liberta Hub Blok M Jakarta
Liberty Hotel Thamrin
LITEROOMS KEBAGUSAN CITY
Little Amaroossa Residence
Losari Blok M
Losari Blok M 2
Losari Roxy Hotel
Luminor Hotel Jakarta Kota
Luminor Pecenongan Jakarta
Lumire Hotel & Convention Center
Lynt Hotel Jakarta
M Hotel
M Hotel Jakarta
M Hotel Jakarta
M Residence Menteng
Magnolia Hotel
Magnolia Jakarta
Mandarin Oriental Jakarta
Manggis Inn
Manhattan Hotel
Mansion 28 at Dharmawangsa
Maple Hotel
Marina Ancol Apartement
Maven at Cilandak
Maven Buncit Hotel
Maven Fatmawati Hotel
Maven Gloria Suites
MAVEN Gunung Sahari
Maven Moi Suites
MaxOne Glodok Jakarta
Maxone Hotel Kramat Jakarta
MaxOne Platinum Hayam Wuruk
MaxOne Sabang
MaxOneHotels.com @ Pemuda
Mega Anggrek Hotel and Convention
Mega Matra Hotel
Mega Proklamasi
Menteng 1
Menteng Park Exclusive Emerald Tower
Mercure Convention Center Ancol
Mercure Jakarta Cikini
Mercure Jakarta Kota
Mercure Jakarta Sabang
Mercure Jakarta Simatupang
Mercure Pantai Indah Kapuk
Merlynn Park Hotel Jakarta
Midtown Residence Simatupang Jakarta
Millennium Hotel Sirih Jakarta
MK House SCBD
Monopoli Hotel
Morrissey Hotel Banquet Hall 2
My Hotel
N1 Hotel Jakarta
N2 Hotel Jakarta
N3 Hotel Jakarta
NAM Hotel
Neo Melawai
Neo Puri Indah
Neo Tendean
New Green Bamboo Residence
Nite & Day Hotel Jakarta - Roxy
Nomad Hostel Kemang
Novotel Gajah Mada
Novotel Mangga Dua
Oak Tree Urban Mahakam
Oakwood Premier Cozmo
Oakwood Suites La Maison
Oasis Amir Hotel Jakarta
Oktroi Plaza
Olympic Hotel Jakarta
Orchardz Industri
Orchardz Jayakarta
Oria Hotel
OYO 116 N Hotel
OYO 136 Manggis Inn
OYO 919 Hotel Kalisma Syariah
Ozone Hotel Jakarta
P Hotel Jakarta
Paragon Gallery Hotel Jakarta
Park 5 Simatupang
Park Hotel
Patra Jasa Jakarta Hotel
Pax Hotel
Pejaten Valley Residence
Permata Bandara Hotel
Pesona Guest House Jakarta
PINX'S HOSTEL
Pitagiri Hotel
Pomelotel Patra Kuningan
Pondok Labu Residence
Pondok Putri Duyung Ancol
Pop Hotel Kelapa Gading Jakarta
POP Hotel Kemang
POP Hotel Tebet
POP Kemang
POP! Hotel Pasar Baru Jakarta
Posto Dormire Hotel
Prasada Mansion
Prima Indah Bungur
Pullman Jakarta Central Park
Pullman Jakarta Indonesia
Puri Casablanca Serviced Apartment
Puri Denpasar Hotel Jakarta
Puri Mega Hotel
Quds Express Hotel
Ra Hotel and Residence
Ra Residence
Raffles Jakarta
Rasuna Icon Private
Rasuna Mansion
Ravarine Suite Apartment
Red Planet Hotel Pasar Baru
RedDoorz @ Fatmawati Raya
RedDoorz @ Karet Pedurenan
RedDoorz @ Pemuda
RedDoorz @ Petojo
RedDoorz @ Pulomas
RedDoorz Near Asemka
RedDoorz Plus @ Karet Setiabudi
Redstar Hotel Jakarta
Redtop Hotel and Convention Center
Rensa Hotel Jakarta
Rivoli Senen Jakarta
Rota International Hotel
Royal City Hotel
Royal Kuningan Hotel
Royal Regal Hotel Jakarta
Rumah Shinta
Safin Inn Cipete
Sahati Hotel
Sampit Residence
Sanno Hotel Jakarta
Santika Kelapa Gading
Santika TMII
Sare Jakarta
Sare Suites
Sari Pan Pacific Jakarta
Sawana suite
Sentral Jakarta
Shakti Capsule Hotel Jakarta
SHAKTI HOTEL JAKARTA
Shalva Jakarta
ShangriLa Jakarta
Sheraton Bandara Hotel
Sheraton Jakarta Gandaria City
Simple Inn Wahid Hasyim
Smart Hotel Thamrin Jakarta
Sofyan Hotel Betawi
Sofyan Hotel Cut Meutia
Sofyan Hotel Soepomo
Somerset Berlian Jakarta (Apartment)
Somerset Grand Citra (Apartment)
Sotis Hotel
Sotis Residence Pejompongan
Sparks Hotel
Sriwijaya Hotel Jakarta
Studio One
Sun City Jakarta
Sunbreeze Senayan
Sunlake Hotel
Swiss Bellin Airport Jakarta
Swiss Belresidence Rasuna Epicentrum
Swiss-Belhotel Mangga Besar Jakarta
Swiss-Belhotel Pondok Indah
Swiss-Belinn Kemayoran Jakarta
Swiss-Belinn Simatupang
Swiss-Belresidences Kalibata
T Hotel Jakarta
Take's Mansion Apartments
Teduh Hostel Kota Tua
Thamrin Condotel Hotel
The 1O1 Jakarta Sedayu Darmawangsa
The Acacia Hotel & Resort
The Akmani Hotel
The Aryaduta Jakarta
The Aryaduta Suites Hotel Semanggi
THE ASCOTT JAKARTA (Apartment)
The Bellevue Suites, Jakarta
The Bellezza GP Suites (Apartment)
The BnB Kelapa Gading
The Dharmawangsa Hotel
The Falatehan Hotel
The Gloria Suites Jakarta
The Grove Suites Jakarta
The Gunawarman
The Hermitage Jakarta
The Mayflower Jakarta (Apartment)
The Media Hotel Dan Towers
The Nyaman Jakarta
The Packer Lodge
The Park Lane Jakarta
The Plaza Hotel Glodok
The Radiant Wisma
The Ritz Carlton Hotel Pacific Place
The Ritz Carlton Mega Kuningan Jakarta
The Sultan Hotel & Residence
The Westin Jakarta
Travellers Hotel Jakarta
Treva International
Triniti Hotel
Twin Plaza ( Ex. Park Plaza Hotel)
Twins Mangga Dua Hotel
U Stay Tebet
Upscale Suites
V Hotel Jakarta
V Residence Jakarta
Veranda Hotel @Pakubuwono
Veranda Serviced Residence at Puri
Verse Lite Jakarta
Verse Luxe Wahid Hasyim
W Home Cipete
W Home Cipete Selatan
W Home Kebayoran Baru
White Tree Residence
Whiz Hotel Cikini Jakarta
Whiz Hotel Falatehan Jakarta
Whiz Prime Kelapa Gading
Win Hotel Panglima Polim Jakarta
Win Premier Mangga Besar
Wisma Bumi Asih Jakarta (Bumi Asih Jaya Group Hotel)
World Hotel Jakarta
Yello Hotel Harmoni
Yello Hotel Manggarai
Zahabi Hotel Jakarta Simatupang
ZEN Premium Menteng Gondangdia
ZEN Rooms Cengkareng
ZEN Rooms Cideng Barat
ZEN Rooms Cipete
ZEN Rooms Kampung Bali Tanah Abang (ZEN Rooms Green Apple)
ZEN Rooms Karet Tengsin
ZEN Rooms Kuningan Syariah
ZEN Rooms Mampang Prapatan
Zen Rooms Mangga Dua Jayakarta
ZEN Rooms Palmerah Barat
ZEN Rooms Pancoran
ZEN Rooms Pluit Bandengan
ZEN Rooms Setiabudi
ZEN Rooms Soepomo 100
ZenRooms Bandengan Selatan
ZenRooms Blok M Palatehan
ZenRooms Kuningan Karet
ZenRooms Tebet Gudang Peluru
Zodiak MT Haryono
Zuri Express Mangga Dua
